ParticipantID,SEX,ParticipantAge,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
393,0,40,1,6,1,6,2,2,1,6,5,1,5,5,2,5,6,1,1,9,2,1,1,7,7,5,6,7,5,7,7,7,7,7,7,7,6,6,5,5,5,2,2
134,1,39,2,5,2,7,2,5,3,5,6,2,4,5,2,3,3,6,4,6,2,2,3,5,6,7,7,6,2,2,1,7,6,2,6,5,5,6,5,6,6,6,5
137,1,39,2,5,3,6,5,6,2,5,3,5,3,5,2,2,5,2,5,3,6,4,6,5,5,7,6,6,4,7,3,7,4,6,6,6,6,6,6,6,6,5,6
171,1,39,2,6,2,6,2,5,2,7,6,2,6,7,2,5,8,1,1,9,5,5,5,3,5,5,6,5,2,2,2,5,5,1,7,5,5,5,5,6,5,3,3
214,1,39,1,7,5,6,1,3,1,7,6,1,6,7,2,4,9,2,1,8,7,5,4,5,5,6,6,6,3,2,1,5,6,7,5,6,6,6,6,6,6,4,7
221,1,39,3,3,2,6,3,2,3,5,2,3,6,2,2,1,1,3,2,8,2,1,2,5,6,4,6,5,4,7,7,7,7,7,6,7,4,3,6,5,6,3,2
240,1,39,1,1,1,1,1,1,1,1,7,1,1,1,2,1,1,1,1,9,1,1,1,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7
290,1,39,5,2,4,4,4,1,4,4,5,6,5,1,1,1,1,1,1,9,3,1,1,4,5,3,4,5,6,7,7,7,2,7,7,6,6,6,6,6,6,1,1
316,0,39,5,7,2,5,2,1,2,7,5,2,5,6,2,1,1,2,1,9,4,3,2,6,3,7,5,2,6,7,7,6,7,7,7,6,7,7,6,7,7,6,6
331,0,39,1,1,1,6,1,3,1,1,6,1,6,4,2,2,1,1,1,8,2,1,2,5,5,7,3,3,2,7,7,4,4,1,5,7,7,7,7,7,7,5,5
361,0,39,5,5,5,5,5,4,6,6,6,5,4,6,2,3,2,6,5,3,6,3,4,5,5,6,6,5,3,6,4,6,6,6,6,5,6,6,6,6,5,6,2
149,1,38,2,5,1,5,1,1,1,7,4,1,3,6,2,8,7,6,2,7,5,1,2,3,6,2,2,5,6,2,5,7,7,7,6,5,2,7,3,3,2,1,1
210,1,38,1,3,1,7,1,1,1,1,6,1,6,2,2,3,3,4,1,9,1,1,1,3,6,5,6,7,7,1,3,5,7,7,7,2,1,1,5,6,6,6,1
286,1,38,2,5,2,5,2,3,2,5,5,2,5,4,2,2,1,5,2,7,2,2,4,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,5,4,5,5
292,1,38,1,4,4,4,4,4,3,3,3,3,3,4,2,2,2,1,1,1,1,1,1,7,7,6,7,7,5,1,1,7,7,7,7,1,1,1,6,4,4,5,7
297,1,38,1,6,3,3,1,1,1,6,5,1,5,2,2,2,2,3,1,9,2,1,1,3,6,6,6,7,6,7,7,7,7,1,6,6,7,6,6,6,6,6,7
306,0,38,6,6,6,5,5,6,4,5,4,5,5,6,1,1,1,1,1,2,2,2,2,4,5,5,6,4,5,4,5,4,6,6,5,5,5,5,4,6,6,5,4
82,0,38,3,4,2,6,4,4,5,4,4,5,4,3,2,2,2,4,5,5,1,6,2,5,6,4,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7
83,0,38,3,5,3,5,3,5,5,5,5,5,5,5,2,3,3,6,6,4,2,2,2,5,5,5,3,5,5,6,6,6,6,5,5,5,5,5,6,6,6,5,5
119,0,38,4,2,4,6,3,4,2,2,4,2,5,3,3,5,6,9,5,2,4,4,4,5,6,6,7,6,2,7,2,4,7,7,3,7,6,6,7,6,6,4,4
390,0,38,5,5,6,5,2,3,4,2,6,3,3,1,2,2,1,7,5,1,2,3,3,6,6,2,2,5,2,5,1,1,4,6,6,4,4,3,2,2,2,1,1
191,1,37,1,6,1,6,1,1,1,6,7,1,7,1,2,2,2,3,1,9,1,1,1,5,6,6,7,6,5,7,1,4,7,7,7,7,5,7,4,4,6,4,7
246,1,37,1,4,1,5,1,3,1,5,4,1,6,3,2,1,2,9,5,8,4,3,4,5,5,5,5,6,7,2,4,6,5,7,5,7,6,6,2,2,2,2,2
67,0,37,6,6,7,5,6,7,6,6,7,3,6,7,5,7,7,3,8,6, ,5,6,6,5,5,6,7,5,6,6,3,5,5,6,6,4,3,6,7,7,5,6
356,0,37,5,6,5,4,6,5,4,5,6,5,6,4,2,2,3,1,4,3,7,4,5,6,7,6,5,6,7,6,5,6,7,6,7,6,5,6,7,6,5,5,6
337,0,37,6,4,5,5,5,7,5,3,6,6,5,7,2,1,1,7,9,8,6,9,5,5,3,7,7,7,7,1,1,5,4,5,6,3,6,7,4,3,5,7,7
152,1,36,2,5,5,6,6,2,2,6,6,6,6,6,2,2,1,1,1,8,1,1,1,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
153,1,36,1,5,1,5,1,1,1,5,4,1,4,4,2,1,1,1,1,9,2,2,2,3,5,5,5,5,6,5,6,7,7,7,7,6,5,5,5,5,4,4,6
253,1,36,2,2,4,6,4,5,2,2,3,2,5,5,2,2,2,2,2,8,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
259,1,36,1,1,1,6,1,1,1,4,7,2,6,1,2,1,1,2,1,8,1,1,1,6,7,5,7,7,5,5,7,7,7,7,7,6,6,6,7,7,7,4,7
293,1,36,2,5,2,5,4,3,5,5,3,5,3,5,1,4,2,8,2,4,4,2,4,6,6,5,5,7,7,7,2,4,4,7,7,7,7,7,6,6,6,3,2
49,0,36,7,6,1,1,1,5,3,6,6,7,6,7,2,2,3,6,6,3,4,3,4,5,4,3,3,2,2,7,7,6,6,6,6,5,6,5,6,5,5,6,2
115,0,36,7,6,7,6,6,5,7,4,7,5,7,4,1,5,5,4,5,2,2,2,4,5,6,3,6,4,6,4,7,6,5,6,5,5,6,4,5,4,6,4,5
66,0,36,1,5,1,4,1,2,1,5,4,1,3,3,1,2,2,6,4,5,7,6,3,3,5,3,4,6,6,6,5,4,4,7,5,7,7,6,6,6,6,3,4
84,0,36,1,1,1,7,1,1,1,1,7,1,7,1,2,1,1,7,7,1,5,1,5,7,7,7,7,7,4,7,1,7,7,7,4,1,1,1,6,6,6,6,1
89,0,36,1,5,1,6,1,1,4,5,7,1,7,5,4,7,9,9,9,1,3,3,1,6,7,7,7,7,1,7,7,1,7,6,1,7,7,7,7,7,7,5,1
107,0,36,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,7,2,7,2,3,2,4,3,3,5,4,4,4,4,4,6,7,6,6,7,6,6,5,6,1,1
114,0,36,5,3,3,6,6,6,5,5,5,5,5,6,2,6,6,9,9,1,8,7,7,5,6,6,5,4,3,3,2,2,5,2,1,2,4,3,4,3,4,1,1
398,0,36,1,1,1,4,1,1,1,1,6,1,5,3,2,1,1,7,8,2,7,6,7,5,6,5,6,7,6,6,5,7,7,7,2,6,5,5,6,6,6,3,2
159,1,35,2,4,2,6,2,2,2,4,4,2,4,4,2,4,3,9,8,1,7,7,7,6,6,5,7,4,7,2,4,2,2,3,2,4,3,6,2,2,6,2,2
201,1,35,2,4,5,4,5,3,2,4,6,2,5,2,2,6,8,8,8,2,6,6,4,6,6,4,6,6,4,7,5,7,6,7,3,5,5,5,5,5,5,3,1
276,1,35,1,1,1,1,1,5,1,1,1,1,1,1,2,2,2,9,9,9,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
283,1,35,6,1,1,7,1,1,5,1,7,1,7,2,2,1,1,1,1,9,1,1,1,5,7,5,6,7,2,7,5,4,7,7,7,7,7,7,6,6,6,5,7
287,1,35,4,5,1,5,1,3,1,5,7,1,6,5,2,1,1,3,1,9,1,1,5,6,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,5,1
319,0,35,2,1,2,6,2,7,7,4,1,6,2,1,7,1,2,3,5,4,3,6,1,2,5,2,5,3,6,3,6,2,7,3,6,7,3,4,3,6,2,3,2
30,0,35,1,4,1,6,1,1,1,4,4,1,1,4,1,4,1,9,9,1,9,7,9,4,6,5,4,5,6,6,4,4,6,4,2,5,6,6,6,6,6,6,4
29,0,35,1,1,1,7,1,7,1,1,7,1,7,1,2,1,1,9,9,1,2,2,1,7,7,7,7,7,7,7,7,4,7,7,1,7,7,7,5,5,5,3,1
63,0,35,1,5,1,5,1,6,2,5,5,2,5,2,2,3,5,8,8,2,4,2,2,5,5,5,7,4,4,7,4,7,7,6,3,6,5,5,5,5,5,3,1
73,0,35,2,7,1,6,7,5,2,7,5,1,6,7,2,2,3,1,2,5,5,3,2,5,4,5,5,5,5,6,6,6,6,7,2,4,4,4,5,4,4,4,6
309,0,35,3,4,4,6,3,2,4,4,5,1,4,3,2,1,1,8,1,8,2,4,5,4,5,3,5,6,5,3,5,3,6,4,2,5,6,3,5,4,4,5,6
399,0,35,1,5,6,5,4,6,3,5,6,3,5,3,3,5,7,9,9,1,9,9,9,6,6,6,6,5,5,6,1,7,7,3,1,3,3,3,6,6,6,2,4
